AutoId,MarkName,ModelName,Year,PriceUsd,PriceUah,TypeId,RaceKmThs,FuelId,GearId,BodyId,DriveId,HasDamage
32298270,Mercedes-Benz,GLE 400,2018,53000,1867190,1,56,1,2,5,1,FALSE
32635879,Volkswagen,Touareg,2011,15600,549588,1,173,5,2,5,1,TRUE
32377898,Volkswagen,Touareg,2012,26750,942402,1,173,2,2,2,1,FALSE
32626013,Volkswagen,Touareg,2021,72000,2536560,1,14,2,2,5,1,FALSE
32469576,Mercedes-Benz,ML 63 AMG,2010,19500,686985,1,203,1,2,5,1,FALSE
32665904,Toyota,Land Cruiser 200,2016,55500,1955265,1,117,2,2,5,1,FALSE
32499094,Audi,A6,2016,38500,1356355,1,30,2,2,3,1,FALSE
32675634,BMW,X5,2012,20300,715169,1,151,1,2,5,1,FALSE
32673349,Toyota,Land Cruiser 200,2011,39800,1401358,1,209,2,2,5,1,FALSE
32567283,Ford,Escape,2016,11700,412191,1,131,1,2,5,2,TRUE
32633207,BMW,X5,2013,18500,648425,1,189,2,2,5,1,FALSE
32486934,Volkswagen,Touareg,2020,59500,2096185,1,55,1,2,5,1,FALSE
32644823,Audi,Q7,2016,35999,1280124,1,95,1,2,5,1,TRUE
32641588,Volkswagen,Passat B7,2013,11900,419237,1,250,4,2,3,2,TRUE
32679189,Audi,Q7,2011,22550,794436,1,198,2,2,2,1,FALSE
32641489,BMW,X5,2018,45500,1602965,1,73,2,2,5,1,FALSE
32556743,Audi,Q7,2017,48000,1691040,1,128,2,2,5,1,FALSE
32683228,Skoda,Superb,2011,9970,350047,1,183,2,1,3,2,FALSE
32300618,Porsche,Cayenne,2012,21500,758090,1,150,1,2,5,1,TRUE
32664069,Audi,Q7,2017,39000,1373970,1,112,1,2,5,1,TRUE
32611617,Audi,A4,2011,12200,428342,1,210,1,2,3,1,FALSE
32680682,Volvo,S40,2012,8850,311786,1,167,2,1,3,2,FALSE
32257289,Audi,Q7,2017,39999,1409165,1,155,2,2,5,1,FALSE
32662272,Volkswagen,Jetta,2012,8550,301217,1,234,4,2,3,2,TRUE
31946607,Audi,Q7,2017,57500,2025725,1,79,2,2,5,1,FALSE
32619724,Volkswagen,Tiguan,2012,11399,401587,1,186,1,2,5,1,FALSE
32614718,Toyota,Camry,2016,13200,465036,1,145,4,2,3,2,TRUE
32678970,Skoda,Octavia A5,2012,8550,301217,1,239,2,2,307,2,FALSE
32576300,Volkswagen,Passat B8,2015,16400,577772,1,68,1,2,3,2,FALSE
32682414,Mercedes-Benz,E 250,2012,15550,544561,1,241,2,2,3,1,FALSE
32109920,Volkswagen,Tiguan,2013,13500,475605,1,117,1,2,8,1,TRUE
32663137,Renault,Master груз.,2015,14500,509675,6,240,2,1,198,2,FALSE
29891203,Volkswagen,Tiguan,2017,29900,1053676,1,120,2,2,5,1,FALSE
31171926,BMW,328,2013,16000,568960,1,110,1,2,3,3,TRUE
32655654,BMW,X5,2016,52000,1831960,1,151,2,3,5,1,FALSE
32677407,Volkswagen,Jetta,2014,8500,299455,1,203,1,2,3,2,TRUE
32458851,BMW,M6,2014,50500,1779115,1,90,1,3,3,3,TRUE
32650345,Volkswagen,Touareg,2015,27800,980228,1,188,2,2,5,1,FALSE
32637443,Skoda,Fabia,2016,8200,288886,1,156,2,1,2,2,FALSE
32574067,Audi,S7 Sportback,2015,50500,1779115,1,65,1,3,3,1,TRUE
32505604,Toyota,Land Cruiser Prado 150,2020,50499,1779080,1,44,1,2,5,1,FALSE
32473307,BMW,535,2015,25555,901069,1,125,1,2,3,1,TRUE
32683313,Hyundai,Santa FE,2011,12700,447040,1,162,2,2,5,1,FALSE
32667334,Volkswagen,Jetta,2012,9600,338208,1,246,2,1,3,2,FALSE
32368615,BMW,535,2013,17000,598910,1,168,1,2,3,1,TRUE
32667145,BMW,328,2016,21500,757445,1,85,1,2,3,3,TRUE
32455826,Toyota,Highlander,2014,31000,1092130,1,126,4,2,5,1,FALSE
32578628,Skoda,Superb,2015,23500,827905,1,209,2,2,3,1,FALSE
32497771,Ford,Fusion,2016,10000,352300,1,138,1,2,3,2,TRUE
32674645,Toyota,Camry,2020,26500,933065,1,42,1,2,3,1,TRUE
32663966,BMW,X5,2014,35000,1233050,1,198,2,2,5,1,FALSE
30742030,BMW,520,2014,20500,725290,1,214,2,2,3,3,FALSE
32513294,Audi,A8,2016,34400,1211912,1,130,2,2,3,1,FALSE
32663033,Volkswagen,Jetta,2020,19500,693615,1,14,1,3,3,2,TRUE
32661962,Audi,Q7,2011,14900,524927,1,185,1,2,5,1,TRUE
32574878,Mazda,3,2018,10100,355823,1,170,1,2,4,2,FALSE
32596103,Audi,A3,2014,19800,697554,1,108,1,2,3,1,FALSE
32378983,Mazda,6,2016,14200,500266,1,118,2,2,3,2,FALSE
32547455,BMW,X5,2014,50000,1761500,1,145,2,2,5,1,FALSE
32504815,Volkswagen,Passat B7,2016,10900,381391,1,124,1,2,3,2,TRUE
32677398,Volkswagen,Crafter груз.,2017,15500,546065,6,228,2,1,210,3,FALSE
32676012,Toyota,Land Cruiser 200,2018,66000,2325180,1,102,2,2,5,1,FALSE
32666940,Ford,Edge,2020,18999,669335,1,23,1,2,5,2,TRUE
32662954,Renault,Master груз.,2013,11499,405110,6,391,2,1,210,2,FALSE
29487773,Toyota,Land Cruiser Prado 150,2019,41000,1444430,1,47,4,2,5,1,FALSE
32620914,Skoda,Octavia A5,2010,9700,345126,1,134,1,1,307,2,FALSE
32661829,BMW,X5,2010,17700,629235,1,225,1,2,5,1,TRUE
32054839,Ford,Focus,2014,7200,255456,1,262,2,1,3,2,FALSE
32629472,Audi,Q8,2021,94000,3311620,1,4,2,3,5,1,FALSE
32202794,Renault,Megane,2013,7200,253656,1,152,2,4,4,2,FALSE
32540314,Renault,Megane,2016,11200,398384,1,154,2,1,4,2,FALSE
32470240,Audi,Q7,2017,47999,1693405,1,198,2,2,5,1,FALSE
32617298,Jeep,Grand Cherokee,2017,17777,626284,1,95,1,2,5,1,FALSE
32670592,Volkswagen,Golf VI,2012,11000,387530,1,220,2,2,4,2,FALSE
32546220,BMW,520,2013,19200,676416,1,175,1,2,3,3,FALSE
32556155,Volkswagen,Touareg,2012,25500,898365,1,228,2,2,5,1,FALSE
32627160,Audi,A8,2021,80000,2818400,1,22,2,2,3,1,FALSE
32620999,Ford,Focus,2016,10500,369915,1,62,1,1,4,2,TRUE
31588484,Toyota,Highlander,2014,21500,756800,1,95,4,2,5,2,FALSE
31406250,Mazda,3,2011,7500,264225,1,170,1,2,3,2,TRUE
32684482,BMW,X3,2018,36000,1268280,1,125,2,2,5,1,FALSE
32565577,Volvo,V50,2010,6900,243087,1,195,2,1,2,2,FALSE
32379959,Lexus,RX 350,2012,19799,697519,1,171,1,2,5,1,TRUE
32653309,BMW,X6,2011,22800,802788,1,188,2,2,5,1,FALSE
32475546,Mercedes-Benz,S 63 AMG,2018,219500,7732985,1,27,1,3,6,1,FALSE
32274234,Mercedes-Benz,S 500,2014,90500,3175645,1,48,1,3,6,1,FALSE
